f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 c
0.3933 0.1217 0.0823 0.0379 0.0722 0.0286 0.0622 0.0160 57.3994 15.0778 1 
0.3350 0.0573 0.0819 0.0182 0.0296 0.0091 0.1116 0.0246 87.3226 20.4308 1 
0.0252 0.0153 0.0054 0.0035 0.0661 0.0225 0.0648 0.0201 55.6117 16.7229 1 
0.4632 0.1624 0.1062 0.0470 0.0564 0.0319 0.0872 0.0429 68.8179 31.7608 1 
0.4140 0.1689 0.0920 0.0480 0.0336 0.0135 0.1094 0.0340 94.3809 39.8930 1 
0.0222 0.0115 0.0046 0.0027 0.0658 0.0237 0.0478 0.0149 38.5932 11.5475 1 
0.2302 0.1731 0.0597 0.0474 0.0799 0.0686 0.0598 0.0402 42.0996 27.8892 1 
0.1852 0.1169 0.0442 0.0253 0.0322 0.0132 0.1266 0.0482 98.5580 47.4585 1 
0.4096 0.1571 0.0938 0.0390 0.0446 0.0173 0.0877 0.0231 70.1244 21.0091 1 
0.0307 0.0213 0.0052 0.0037 0.1127 0.0612 0.0578 0.0223 53.9226 16.3877 1 
0.5451 0.1599 0.1068 0.0316 0.0474 0.0188 0.0968 0.0262 73.7085 23.6913 1 
0.0512 0.0303 0.0128 0.0082 0.0570 0.0272 0.0943 0.0406 81.3235 38.9766 1 
0.0824 0.0316 0.0161 0.0072 0.0722 0.0293 0.0815 0.0264 69.1844 23.3733 1 
0.2160 0.1110 0.0550 0.0263 0.0428 0.0188 0.0932 0.0302 79.0290 28.6832 1 
0.2189 0.0876 0.0543 0.0195 0.0362 0.0146 0.1039 0.0319 88.3221 31.2062 1 
0.1453 0.0905 0.0348 0.0195 0.0572 0.0227 0.0759 0.0277 64.2063 25.6899 1 
0.1204 0.1185 0.0297 0.0303 0.0570 0.0328 0.0723 0.0343 59.9292 32.3837 1 
0.0482 0.0331 0.0093 0.0090 0.1183 0.0646 0.0353 0.0068 34.0894 7.2284 1 
0.0322 0.0405 0.0065 0.0095 0.1028 0.0453 0.0404 0.0128 37.9070 12.9779 1 
0.0801 0.0641 0.0190 0.0155 0.1007 0.0378 0.0469 0.0147 45.3078 12.7631 1 
0.0786 0.0583 0.0181 0.0152 0.1168 0.0607 0.0444 0.0096 43.5362 8.5579 1 
0.0873 0.1055 0.0184 0.0240 0.0828 0.0265 0.0442 0.0144 38.4858 12.6316 1 
0.1699 0.0865 0.0394 0.0204 0.0533 0.0179 0.0950 0.0184 82.6695 17.2325 1 
0.0815 0.0311 0.0172 0.0074 0.0654 0.0279 0.0789 0.0211 68.9062 19.5262 1 
0.0904 0.0707 0.0228 0.0194 0.0636 0.0284 0.0701 0.0241 59.4017 21.1420 1 
0.1461 0.1096 0.0333 0.0212 0.0647 0.0264 0.0755 0.0237 64.9584 20.4809 1 
0.0593 0.0412 0.0128 0.0070 0.0649 0.0250 0.0630 0.0285 47.9380 22.8532 1 
0.1215 0.0640 0.0294 0.0150 0.0712 0.0297 0.0706 0.0222 64.1946 19.1407 1 
0.1103 0.0806 0.0272 0.0202 0.0548 0.0192 0.0716 0.0221 60.3702 18.2856 1 
0.0437 0.0248 0.0098 0.0054 0.0792 0.0385 0.0600 0.0258 51.0058 20.4408 1 
0.1721 0.1040 0.0401 0.0221 0.0538 0.0209 0.0715 0.0226 60.6976 21.3469 1 
0.0467 0.0546 0.0080 0.0099 0.1051 0.0436 0.0462 0.0150 46.7035 14.9796 1 
0.0170 0.0111 0.0034 0.0035 0.1041 0.0371 0.0384 0.0108 39.1019 9.9218 1 
0.0518 0.0346 0.0131 0.0090 0.0982 0.0420 0.0509 0.0195 51.1087 18.5054 1 
0.0134 0.0137 0.0025 0.0022 0.0788 0.0281 0.0269 0.0124 23.0021 11.2802 1 
0.0472 0.0210 0.0110 0.0052 0.0683 0.0277 0.0598 0.0210 50.3402 17.3599 1 
0.1278 0.0480 0.0277 0.0118 0.0548 0.0216 0.0871 0.0313 76.6875 26.7341 1 
0.1089 0.0525 0.0198 0.0103 0.0829 0.0448 0.0505 0.0109 47.9414 8.3737 1 
0.0650 0.0462 0.0147 0.0124 0.0611 0.0208 0.0572 0.0135 52.4877 9.4948 1 
0.1249 0.0682 0.0296 0.0148 0.0379 0.0126 0.0913 0.0291 79.4671 25.9214 1 
0.1013 0.0608 0.0250 0.0139 0.0441 0.0195 0.0765 0.0318 65.8795 26.3919 1 
0.0599 0.0326 0.0112 0.0066 0.0717 0.0257 0.0502 0.0130 46.6388 9.6267 1 
0.0862 0.0457 0.0216 0.0103 0.0518 0.0257 0.0700 0.0201 61.5366 16.5235 1 
0.1074 0.0448 0.0295 0.0129 0.0446 0.0160 0.1665 0.0334 151.6713 36.8734 1 
0.0674 0.0279 0.0177 0.0080 0.0475 0.0178 0.1516 0.0441 128.0828 39.6893 1 
0.1361 0.0611 0.0342 0.0165 0.0480 0.0191 0.1523 0.0456 131.1521 46.6057 1 
0.2044 0.0779 0.0620 0.0354 0.1046 0.0550 0.1309 0.0582 128.1739 68.5772 1 
0.2405 0.1039 0.0706 0.0366 0.0623 0.0276 0.1082 0.0294 98.8730 32.7264 1 
0.0388 0.0256 0.0085 0.0056 0.0676 0.0303 0.0688 0.0358 48.6377 30.8653 1 
0.0376 0.0464 0.0097 0.0111 0.0632 0.0387 0.1231 0.0624 99.9686 56.7023 1 
0.1760 0.0873 0.0423 0.0211 0.0457 0.0198 0.1174 0.0488 96.6459 51.7845 1 
0.1052 0.0544 0.0291 0.0194 0.0633 0.0295 0.0856 0.0303 72.4611 26.0810 1 
0.0949 0.0614 0.0249 0.0163 0.0451 0.0238 0.1229 0.0473 100.2306 47.4650 1 
0.0297 0.0073 0.0061 0.0015 0.0514 0.0158 0.0796 0.0201 51.0505 13.9587 1 
0.5730 0.0469 0.1629 0.0430 0.0424 0.0147 0.1271 0.0297 79.4325 22.6386 2 
0.3709 0.1045 0.1086 0.0431 0.0677 0.0327 0.0741 0.0626 54.5030 54.2032 2 
0.5518 0.1025 0.1399 0.0591 0.0466 0.0220 0.1027 0.0489 72.5223 41.1495 2 
0.5551 0.0544 0.1384 0.0431 0.0420 0.0186 0.1243 0.0356 77.7338 29.0399 2 
0.5340 0.0704 0.1604 0.0423 0.0394 0.0186 0.1365 0.0471 91.3813 43.3563 2 
0.5863 0.0931 0.1558 0.0517 0.0425 0.0202 0.1285 0.0528 83.8623 42.2458 2 
0.6018 0.0565 0.1393 0.0471 0.0528 0.0203 0.1130 0.0424 66.5930 28.6019 2 
0.6749 0.0651 0.1644 0.0486 0.0571 0.0204 0.1047 0.0345 63.7019 23.9081 2 
0.6367 0.0723 0.1824 0.0467 0.0294 0.0099 0.1570 0.0403 100.7828 37.2663 2 
0.2160 0.1011 0.0542 0.0296 0.0649 0.0364 0.0764 0.0495 58.7482 43.0027 2 
0.2534 0.1496 0.0590 0.0384 0.0646 0.0439 0.1100 0.0957 95.6769 103.9598 2 
0.3833 0.1387 0.1003 0.0419 0.0600 0.0288 0.0640 0.0331 48.8586 21.3996 2 
0.2872 0.1379 0.0701 0.0331 0.0331 0.0167 0.1296 0.0489 101.0221 47.6893 2 
0.3071 0.1155 0.0809 0.0337 0.0373 0.0178 0.1248 0.0822 88.9462 82.1159 2 
0.3286 0.0819 0.0763 0.0221 0.0398 0.0175 0.0943 0.0467 73.6228 53.6291 2 
0.2335 0.0896 0.0593 0.0294 0.0565 0.0234 0.0601 0.0242 50.0047 18.8162 2 
0.2707 0.0707 0.0651 0.0170 0.0510 0.0219 0.0638 0.0286 46.4497 18.0789 2 
0.3122 0.1231 0.0754 0.0358 0.0419 0.0167 0.0956 0.0404 71.5515 35.3744 2 
0.2283 0.1616 0.0575 0.0435 0.0789 0.0413 0.0508 0.0319 43.8481 29.5219 2 
0.3461 0.1323 0.0722 0.0272 0.0588 0.0376 0.0869 0.0736 68.6985 78.0530 2 
0.3050 0.1209 0.0829 0.0398 0.0730 0.0318 0.0455 0.0196 37.9508 15.1171 2 
0.2450 0.1173 0.0618 0.0325 0.0528 0.0221 0.0679 0.0262 52.4976 21.2391 2 
0.0970 0.0709 0.0214 0.0196 0.1378 0.0792 0.0351 0.0434 29.7275 45.9784 2 
0.2734 0.1162 0.0744 0.0395 0.0645 0.0336 0.0824 0.0478 72.5175 47.8212 2 
0.2338 0.1114 0.0566 0.0308 0.0628 0.0280 0.0572 0.0399 44.2273 34.0713 2 
0.2800 0.1006 0.0692 0.0349 0.0666 0.0309 0.0548 0.0299 42.7308 27.1796 2 
0.3964 0.1222 0.0923 0.0285 0.0350 0.0153 0.0974 0.0305 74.5910 30.0457 2 
0.2576 0.0839 0.0712 0.0301 0.0569 0.0222 0.0597 0.0245 46.9841 21.7759 2 
0.2995 0.1076 0.0922 0.0413 0.0556 0.0209 0.0541 0.0217 46.4278 19.7252 2 
0.2026 0.1110 0.0437 0.0319 0.0939 0.0395 0.0427 0.0154 36.8328 10.2253 2 
0.3221 0.1285 0.0715 0.0377 0.0532 0.0320 0.0953 0.0497 73.0739 44.4351 2 
0.1599 0.0971 0.0371 0.0294 0.0669 0.0280 0.0674 0.0453 46.8244 40.0227 2 
0.3103 0.1437 0.0914 0.0476 0.0403 0.0208 0.1236 0.0567 99.3152 56.5299 2 
0.2807 0.1427 0.0771 0.0406 0.0392 0.0205 0.1192 0.0581 91.3133 56.6316 2 
0.3617 0.1371 0.0842 0.0342 0.0370 0.0145 0.1043 0.0507 71.8271 45.1756 2 
0.0598 0.0415 0.0151 0.0148 0.0647 0.0341 0.0841 0.0614 64.6428 55.3315 2 
0.2314 0.0962 0.0513 0.0283 0.0453 0.0193 0.0849 0.0507 60.0415 46.4616 2 
0.3143 0.1190 0.0763 0.0331 0.0364 0.0125 0.1212 0.0450 81.5089 38.5510 2 
0.3560 0.0966 0.0901 0.0253 0.0215 0.0069 0.2125 0.0625 160.2942 64.6315 2 
0.3467 0.1434 0.0919 0.0377 0.0345 0.0140 0.1063 0.0358 76.9841 28.5865 2 
0.3519 0.1065 0.0850 0.0308 0.0433 0.0211 0.0959 0.0538 66.5486 44.7864 2 
0.3589 0.0928 0.0912 0.0264 0.0400 0.0146 0.0870 0.0355 55.1199 24.0782 2 
0.3200 0.1314 0.0831 0.0404 0.0283 0.0116 0.1343 0.0471 105.0774 47.2176 2 
0.3791 0.1636 0.0714 0.0435 0.0634 0.0360 0.0664 0.0393 51.1593 33.3053 2 
0.4962 0.1547 0.1287 0.0424 0.0318 0.0157 0.1331 0.0592 106.7614 57.3197 2 
0.3848 0.1413 0.0862 0.0327 0.0333 0.0155 0.1159 0.0478 100.6902 50.6465 2 
0.2544 0.0788 0.0695 0.0326 0.0544 0.0303 0.0941 0.0401 78.3252 40.2336 2 
0.3413 0.1238 0.1016 0.0426 0.0524 0.0224 0.0639 0.0343 46.9374 25.1461 2 
0.3742 0.0918 0.1123 0.0458 0.0468 0.0234 0.0758 0.0282 65.3328 25.7108 2 
0.3273 0.1048 0.0776 0.0341 0.0530 0.0262 0.0789 0.0461 53.6616 36.9688 2 
0.2213 0.0789 0.0578 0.0304 0.0778 0.0369 0.0592 0.0436 44.9877 37.9761 2 
0.1618 0.0639 0.0364 0.0222 0.1075 0.0528 0.0354 0.0249 25.3236 18.0574 2 
0.4183 0.1177 0.1065 0.0410 0.0346 0.0141 0.1083 0.0351 72.3962 30.7309 2 
0.2629 0.0881 0.0640 0.0330 0.0630 0.0202 0.0602 0.0250 37.1584 16.7884 2 
0.4553 0.1206 0.1192 0.0422 0.0405 0.0147 0.0811 0.0232 55.5397 18.7778 2 
0.3745 0.1539 0.0792 0.0507 0.0796 0.0375 0.0549 0.0319 38.6171 26.2252 2 
0.3813 0.1736 0.0895 0.0500 0.0548 0.0256 0.0754 0.0374 53.7388 28.0941 2 
0.5220 0.1848 0.1205 0.0558 0.0481 0.0226 0.0733 0.0321 49.0817 21.7618 2 
0.3980 0.1548 0.0911 0.0509 0.0742 0.0344 0.0525 0.0311 37.7634 20.4543 2 
0.3711 0.1473 0.0730 0.0476 0.0883 0.0357 0.0429 0.0335 27.8638 22.6939 2 
0.2989 0.1249 0.0638 0.0385 0.0716 0.0307 0.0485 0.0266 34.4168 17.2406 2 
0.4268 0.1296 0.1117 0.0402 0.0346 0.0133 0.1024 0.0394 69.2661 30.2056 2 
0.3995 0.2056 0.1009 0.0657 0.0722 0.0295 0.0583 0.0360 38.2060 28.1319 2 
0.2187 0.0828 0.0546 0.0305 0.0745 0.0273 0.0600 0.0258 46.5758 21.0146 2 
0.2800 0.1596 0.0737 0.0586 0.0850 0.0336 0.0386 0.0210 35.5524 20.8560 2 
0.4780 0.1732 0.1097 0.0388 0.0374 0.0144 0.0989 0.0265 83.9493 29.8564 2 
0.1442 0.0931 0.0380 0.0359 0.0770 0.0307 0.0351 0.0244 33.1156 24.8697 2 
0.2538 0.1261 0.0656 0.0379 0.0620 0.0214 0.0501 0.0228 36.8276 18.2788 2 
0.2845 0.1847 0.0648 0.0538 0.0674 0.0237 0.0610 0.0321 41.4423 25.9175 2 
0.4387 0.1665 0.1166 0.0565 0.0428 0.0202 0.0948 0.0381 69.7877 35.1043 2 
0.3137 0.1611 0.0839 0.0598 0.0644 0.0325 0.0605 0.0298 53.1950 26.9883 2 
0.5436 0.1899 0.1267 0.0529 0.0380 0.0143 0.0823 0.0244 66.9845 25.2431 2 
0.2915 0.1465 0.0706 0.0430 0.0469 0.0163 0.0697 0.0295 48.8057 25.3762 2 
0.2641 0.2046 0.0613 0.0502 0.0599 0.0355 0.0710 0.0429 56.4789 41.4815 2 
0.5677 0.1618 0.1431 0.0542 0.0369 0.0131 0.1138 0.0387 81.8545 37.4636 2 
0.3670 0.1584 0.1001 0.0542 0.0570 0.0240 0.0665 0.0410 59.4094 40.0625 2 
0.4386 0.1459 0.1030 0.0374 0.0368 0.0126 0.0878 0.0228 75.6230 22.2019 2 
0.1220 0.1032 0.0265 0.0268 0.0779 0.0371 0.0496 0.0382 38.4734 30.4419 2 
0.3070 0.1098 0.0716 0.0447 0.0637 0.0213 0.0457 0.0246 42.6693 25.8064 2 
0.5065 0.1747 0.1283 0.0501 0.0404 0.0180 0.0895 0.0459 63.9268 37.6682 2 
0.5582 0.2138 0.1393 0.0562 0.0369 0.0167 0.1011 0.0485 72.2029 41.3077 2 
0.5866 0.1869 0.1439 0.0493 0.0339 0.0137 0.1062 0.0467 73.2436 37.2563 2 
0.4127 0.1667 0.0903 0.0490 0.0572 0.0267 0.0595 0.0287 45.2694 21.7597 2 
0.5753 0.1988 0.1465 0.0628 0.0413 0.0164 0.0931 0.0393 67.1848 33.5355 2 
0.3974 0.1503 0.0865 0.0493 0.0648 0.0290 0.0692 0.0355 52.1941 30.1288 2 
0.4551 0.1996 0.1105 0.0433 0.0439 0.0205 0.0784 0.0302 54.5333 24.2327 2 
0.3437 0.1987 0.0769 0.0530 0.0633 0.0310 0.0739 0.0369 55.4252 29.4407 2 
0.4628 0.1990 0.1061 0.0527 0.0519 0.0231 0.0661 0.0264 46.0739 22.4916 2 
0.3095 0.1623 0.0666 0.0489 0.0744 0.0352 0.0524 0.0353 40.9930 27.7131 2 
0.5038 0.1764 0.1131 0.0489 0.0383 0.0151 0.0990 0.0418 70.0907 36.1887 2 
0.2691 0.1588 0.0591 0.0429 0.0662 0.0284 0.0646 0.0365 49.4623 31.9985 2 
0.6425 0.1794 0.1403 0.0405 0.0307 0.0097 0.1213 0.0363 83.8387 35.6753 2 
0.2438 0.1234 0.0625 0.0409 0.0702 0.0355 0.0681 0.0436 57.9313 35.9601 2 
0.6012 0.1727 0.1416 0.0611 0.0602 0.0248 0.0630 0.0313 44.0363 24.2150 2 
0.4792 0.1944 0.1229 0.0722 0.0706 0.0418 0.0672 0.0583 52.9816 52.1599 2 
0.6353 0.1622 0.1584 0.0660 0.0438 0.0187 0.0974 0.0460 70.6623 40.2063 2 
0.4230 0.1779 0.0945 0.0576 0.0715 0.0344 0.0672 0.0522 49.7837 43.6621 2 
0.4737 0.1711 0.1196 0.0631 0.0736 0.0304 0.0617 0.0311 47.5522 25.1535 2 
0.6640 0.1851 0.1866 0.0615 0.0377 0.0164 0.1084 0.0540 76.2108 46.9430 2 
0.7972 0.1957 0.2073 0.0896 0.0738 0.0419 0.0972 0.0710 81.1259 75.9193 3 
0.2814 0.1053 0.0845 0.0329 0.0515 0.0251 0.0586 0.0502 41.6914 36.9753 3 
0.7679 0.2336 0.2526 0.1170 0.0441 0.0241 0.1035 0.0477 77.3508 46.2255 3 
0.5697 0.2890 0.1721 0.1020 0.0749 0.0681 0.0999 0.0785 77.0410 73.4282 3 
0.7712 0.1569 0.2225 0.0668 0.0391 0.0235 0.1246 0.0513 76.8910 38.2195 3 
0.7629 0.2444 0.2509 0.1035 0.0439 0.0289 0.1284 0.0965 96.7558 97.8125 3 
0.7862 0.2057 0.2467 0.0871 0.0522 0.0326 0.0787 0.0506 56.0696 45.9165 3 
0.4631 0.2379 0.1161 0.0716 0.0431 0.0539 0.1769 0.1010 147.3527 108.6060 3 
0.6288 0.2674 0.1771 0.0833 0.0467 0.0241 0.0983 0.0862 67.7903 75.4349 3 
0.5624 0.2559 0.1682 0.0788 0.0343 0.0149 0.1256 0.0489 85.6069 52.9759 3 
0.6520 0.2314 0.1812 0.0663 0.0400 0.0185 0.0943 0.0587 60.8496 50.5886 3 
0.6255 0.1895 0.1839 0.0630 0.0403 0.0174 0.0873 0.0335 59.3999 27.6847 3 
0.4276 0.1068 0.1272 0.0347 0.0386 0.0172 0.0966 0.0375 79.0109 31.9539 3 
0.5993 0.2080 0.1529 0.0578 0.0302 0.0125 0.1339 0.0451 93.1948 47.2601 3 
0.4854 0.2385 0.1306 0.0670 0.0351 0.0180 0.1159 0.0503 77.6796 48.0583 3 
0.6541 0.2548 0.1930 0.0958 0.0567 0.0426 0.1106 0.0744 82.2487 70.9419 3 
0.5773 0.1888 0.1739 0.0701 0.0507 0.0291 0.0804 0.0425 48.8266 30.6382 3 
0.5363 0.2117 0.1724 0.0759 0.0373 0.0252 0.1458 0.1031 100.8518 105.8380 3 
0.6760 0.2589 0.2257 0.1147 0.0375 0.0273 0.1002 0.0570 84.6061 52.2461 3 
0.5050 0.1932 0.1229 0.0633 0.0751 0.0642 0.1080 0.0759 88.7044 73.3699 3 
0.6806 0.1523 0.2104 0.0708 0.0329 0.0158 0.1198 0.0640 83.4432 58.4231 3 
0.5389 0.2403 0.1582 0.0832 0.0442 0.0175 0.0752 0.0502 53.1365 42.7024 3 
0.5767 0.1505 0.1554 0.0586 0.0352 0.0142 0.1068 0.0359 73.1960 32.2076 3 
0.6034 0.2454 0.1833 0.0873 0.0272 0.0147 0.1390 0.0559 113.2088 56.5368 3 
0.6725 0.1677 0.2004 0.0948 0.0575 0.0487 0.1075 0.0679 79.2944 64.6593 3 
0.4724 0.1452 0.1626 0.0771 0.0433 0.0329 0.1728 0.1084 127.2673 113.5242 3 
0.3935 0.1217 0.1163 0.0411 0.0517 0.0374 0.1027 0.0862 76.8748 80.4974 3 
0.4587 0.0964 0.1345 0.0399 0.0450 0.0328 0.1146 0.0661 85.0437 58.9238 3 
0.4551 0.1223 0.1319 0.0591 0.0535 0.0342 0.1154 0.0780 89.7400 72.8097 3 
0.5792 0.0978 0.1710 0.0320 0.0328 0.0117 0.1729 0.0481 96.0470 34.7430 3 
0.5668 0.1070 0.1881 0.0594 0.0385 0.0238 0.1366 0.0804 92.4822 74.6587 3 
0.3851 0.1670 0.1274 0.0647 0.0602 0.0350 0.0785 0.0665 51.3617 64.1884 3 
0.5902 0.1032 0.1694 0.0524 0.0368 0.0176 0.1528 0.0882 95.8452 75.0205 3 
0.6316 0.0936 0.2018 0.0485 0.0257 0.0117 0.1696 0.0568 120.8352 54.6509 3 
0.4873 0.1809 0.1553 0.0805 0.0779 0.0628 0.1036 0.0946 69.4393 84.2643 3 
0.5656 0.2801 0.1726 0.0858 0.0455 0.0279 0.1116 0.1050 84.6358 108.3091 3 
0.3787 0.2723 0.1109 0.1070 0.0579 0.0307 0.1032 0.1166 83.4583 123.9831 3 
0.5528 0.2518 0.1756 0.1016 0.0436 0.0311 0.1194 0.0672 85.1068 69.7013 3 
0.6828 0.2257 0.1907 0.0972 0.0675 0.0386 0.1018 0.0755 76.2188 73.3476 3 
0.3825 0.2377 0.1117 0.0969 0.0707 0.0458 0.0617 0.0393 43.7929 32.0985 3 
0.1149 0.0765 0.0296 0.0204 0.0449 0.0419 0.1401 0.0927 126.9992 99.2333 3 
0.5656 0.2801 0.1726 0.0858 0.0455 0.0279 0.1116 0.1050 84.6358 108.3091 3 
0.6560 0.2874 0.2112 0.1286 0.0468 0.0275 0.0915 0.0634 62.7849 57.3096 3 
0.6887 0.2486 0.2144 0.1078 0.0589 0.0360 0.1095 0.0959 73.2992 88.6949 3 
0.6251 0.2540 0.1949 0.1096 0.0629 0.0380 0.0775 0.0490 44.6875 34.1071 3 
0.8238 0.1592 0.2504 0.0703 0.0503 0.0241 0.1088 0.0588 58.5460 41.2221 3 
0.7121 0.2071 0.2219 0.1078 0.0819 0.0427 0.0425 0.0309 27.9237 21.5794 3 
0.6230 0.1698 0.2092 0.0755 0.0582 0.0321 0.0996 0.0872 72.1960 83.6840 3 
0.3592 0.1444 0.0984 0.0453 0.0553 0.0313 0.0823 0.0653 55.5369 58.3447 3 
0.3621 0.1293 0.0981 0.0346 0.0458 0.0260 0.1070 0.0706 66.1814 53.5110 3 
0.4354 0.1503 0.1154 0.0430 0.0401 0.0269 0.1264 0.0777 77.4350 61.0510 3 
0.4220 0.1907 0.1116 0.0635 0.0651 0.0338 0.0725 0.0545 52.9850 49.3157 3 
0.4796 0.1432 0.1326 0.0540 0.0639 0.0232 0.0702 0.0333 40.5884 24.4475 3 
0.5810 0.1513 0.1719 0.0608 0.0966 0.0523 0.0515 0.0385 29.5806 23.0392 3 
0.4545 0.2140 0.1203 0.0599 0.0427 0.0290 0.1362 0.0970 97.7586 90.1385 3 
0.4460 0.1427 0.1165 0.0471 0.0669 0.0299 0.0630 0.0442 39.5112 33.1661 3 
0.4861 0.1466 0.1250 0.0564 0.0881 0.0467 0.0539 0.0468 36.6467 38.0884 3 
0.4649 0.1561 0.1297 0.0536 0.0632 0.0309 0.0672 0.0384 44.6551 35.4549 3 
0.5351 0.3262 0.1802 0.1314 0.0634 0.0583 0.1092 0.0988 85.0733 99.8120 3 
0.5447 0.2926 0.1841 0.1322 0.0505 0.0414 0.1222 0.0858 96.4994 87.6442 3 
0.7170 0.2244 0.2222 0.1211 0.0540 0.0278 0.0798 0.0605 56.2565 49.8338 3 
0.5741 0.3190 0.1924 0.1254 0.0573 0.0321 0.0886 0.0952 65.0919 86.2922 3 
0.5657 0.2890 0.1513 0.0949 0.0614 0.0464 0.0794 0.0593 59.3881 55.3869 3 
0.6082 0.2914 0.1946 0.1166 0.0507 0.0371 0.1266 0.0989 94.6108 100.1769 3 
